2022-08-25 15:26:52,787 INFO    MainThread:19972 [wandb_setup.py:_flush():75] Loading settings from /home/river/.config/wandb/settings
2022-08-25 15:26:52,788 INFO    MainThread:19972 [wandb_setup.py:_flush():75] Loading settings from /home/river/nishka/fifo/wandb/settings
2022-08-25 15:26:52,788 INFO    MainThread:19972 [wandb_setup.py:_flush():75] Loading settings from environment variables: {}
2022-08-25 15:26:52,788 INFO    MainThread:19972 [wandb_setup.py:_flush():75] Inferring run settings from compute environment: {'program_relpath': 'new_main.py', 'program': '/home/river/nishka/fifo/new_main.py'}
2022-08-25 15:26:52,788 INFO    MainThread:19972 [wandb_setup.py:_flush():75] Applying login settings: {'mode': 'offline'}
2022-08-25 15:26:52,788 INFO    MainThread:19972 [wandb_init.py:_log_setup():438] Logging user logs to /home/river/nishka/fifo/wandb/offline-run-20220825_152652-1xc01i0l/logs/debug.log
2022-08-25 15:26:52,788 INFO    MainThread:19972 [wandb_init.py:_log_setup():439] Logging internal logs to /home/river/nishka/fifo/wandb/offline-run-20220825_152652-1xc01i0l/logs/debug-internal.log
2022-08-25 15:26:52,788 INFO    MainThread:19972 [wandb_init.py:init():472] calling init triggers
2022-08-25 15:26:52,788 INFO    MainThread:19972 [wandb_init.py:init():475] wandb.init called with sweep_config: {}
config: {}
2022-08-25 15:26:52,788 INFO    MainThread:19972 [wandb_init.py:init():525] starting backend
2022-08-25 15:26:52,788 INFO    MainThread:19972 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-08-25 15:26:52,792 INFO    MainThread:19972 [backend.py:ensure_launched():219] starting backend process...
2022-08-25 15:26:52,794 INFO    MainThread:19972 [backend.py:ensure_launched():224] started backend process with pid: 20000
2022-08-25 15:26:52,795 INFO    MainThread:19972 [wandb_init.py:init():534] backend started and connected
2022-08-25 15:26:52,796 INFO    MainThread:19972 [wandb_init.py:init():598] updated telemetry
2022-08-25 15:26:52,805 INFO    MainThread:19972 [wandb_init.py:init():660] starting run threads in backend
2022-08-25 15:26:55,689 INFO    MainThread:19972 [wandb_run.py:_console_start():1896] atexit reg
2022-08-25 15:26:55,689 INFO    MainThread:19972 [wandb_run.py:_redirect():1769] redirect: SettingsConsole.REDIRECT
2022-08-25 15:26:55,690 INFO    MainThread:19972 [wandb_run.py:_redirect():1774] Redirecting console.
2022-08-25 15:26:55,691 INFO    MainThread:19972 [wandb_run.py:_redirect():1830] Redirects installed.
2022-08-25 15:26:55,691 INFO    MainThread:19972 [wandb_init.py:init():685] run started, returning control to user process
2022-08-25 15:26:55,692 INFO    MainThread:19972 [wandb_run.py:_config_callback():1129] config_cb None None {'batch_size': 4, 'iter_size': 1, 'num_workers': 4, 'data_dir': '/root/data1', 'data_list': './dataset/cityscapes_list/train_foggy_0.005.txt', 'data_city_list': './dataset/cityscapes_list/clear_lindau.txt', 'data_list_rf': '/root/data1/Foggy_Zurich/lists_file_names/RGB_sum_filenames.txt', 'input_size': '2048,1024', 'input_size_rf': '1920,1080', 'data_dir_cwsf': '/root/data1/Cityscapes', 'data_list_cwsf': './dataset/cityscapes_list/train_origin.txt', 'data_dir_rf': '/root/data1', 'num_classes': 19, 'num_steps': 100000, 'num_steps_stop': 60000, 'random_seed': 1234, 'restore_from': 'no_model', 'restore_from_fogpass': 'no_model', 'save_pred_every': 100, 'snapshot_dir': '/home/river/nishka/fifo/snapshots', 'gpu': 0, 'set': 'train', 'lambda_fsm': 1e-07, 'lambda_con': 0.0001, 'file_name': 'xyz', 'modeltrain': 'train'}
